Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Grin3a	Kiaa1973	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9R1M7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q13224}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9R1M7}. Postsynaptic density {ECO:0000250|UniProtKB:Q9R1M7}. Note=Requires the presence of GRIN1 to be targeted at the plasma membrane (By similarity). {ECO:0000250|UniProtKB:Q9R1M7}.
Virma	Kiaa1429	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q69YN4}. Nucleus, nucleoplasm {ECO:0000269|PubMed:29547716}. Cytoplasm {ECO:0000269|PubMed:29547716}. Note=Mainly nuclear with some fraction located in the cytoplasm (PubMed:29547716). ZC3H13 is required to anchor component of the MACOM subcomplex, such as VIRMA, in the nucleus (PubMed:29547716). {ECO:0000269|PubMed:29547716}.
Card9		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9H257}.
Entr1	Sdccag3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16332174}. Early endosome {ECO:0000250|UniProtKB:Q96C92}. Endosome {ECO:0000250|UniProtKB:Q96C92}. Recycling endosome {ECO:0000250|UniProtKB:Q96C92}. Midbody {ECO:0000250|UniProtKB:Q96C92}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q96C92}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q96C92}. Note=Colocalizes in a WASHC2-dependent manner with the retromer CSC complex at endosomes. During cytokinesis colocalized with PTPN13 at the midbody. Colocalizes with IFT88 and gamma-tubulin at the basal body of primary cilia. Colocalizes with IFT88 and pericentrin at the centrosome. {ECO:0000250|UniProtKB:Q96C92}.
Man1b1		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type II membrane protein.
Hmcn2		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17015624}. Cleavage furrow {ECO:0000269|PubMed:21215633}. Note=The antibody used in PubMed:17015624 and PubMed:21215633 to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000269|PubMed:17015624, ECO:0000269|PubMed:21215633}.
Prdm12	Gm998	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9H4Q4}.
Pnpla7		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18086666, ECO:0000269|PubMed:28887301}; Single-pass type III membrane protein {ECO:0000269|PubMed:28887301}. Lipid droplet {ECO:0000269|PubMed:18086666, ECO:0000269|PubMed:28887301}.; SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22326266}; Single-pass type III membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22326266}; Single-pass type III membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22326266}; Single-pass type III membrane protein {ECO:0000305}.
Lcn5	Mep10	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1591332, ECO:0000269|PubMed:2393684}. Note=Synthesized by the mid and distal caput of the epididymis and secreted into the epididymal lumen. {ECO:0000269|PubMed:1591332, ECO:0000269|PubMed:2393684}.
Map7d1	Kiaa1187 Mtap7d1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q3KQU3}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:35470240}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:35470240}. Midbody {ECO:0000269|PubMed:35470240}.
Chd7		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9P2D1}.
Slc4a11	BTR1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8NBS3}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q8NBS3}; Multi-pass membrane protein {ECO:0000255}.
Malrd1	Diet1 Gm13318	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:23747249}; Single-pass type I membrane protein {ECO:0000255}.
Acnat1		SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:17116739}.
Slc35d1		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17952091}; Multi-pass membrane protein {ECO:0000255}.
Setx	Als4 Kiaa0625	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q7Z333}. Nucleus, nucleoplasm {ECO:0000269|PubMed:16644229}. Nucleus, nucleolus {ECO:0000269|PubMed:16644229}. Cytoplasm {ECO:0000269|PubMed:16644229}. Chromosome {ECO:0000269|PubMed:23593030}. Chromosome, telomere {ECO:0000250|UniProtKB:Q7Z333}. Cell projection, axon {ECO:0000250|UniProtKB:Q7Z333}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q7Z333}. Note=Most abundant in the nucleus (By similarity). Detected in granules (By similarity). Colocalized in cycling cells with FBL in the nucleolus. Localizes with telomeric DNA in a transcription-dependent manner. Under replication stress, colocalizes with a variety of DNA damage signaling and repair response proteins at distinct nuclear foci in mitotic S/G2- and G1-phase cells in a transcription- and RNA/DNA hybrid-dependent manner. Localizes at limited number of nuclear foci. Colocalizes with EXOSC9 in nuclear foci upon induction of transcription-related DNA damage at the S phase (By similarity). At pachytene stage, colocalizes predominantly to the heterochromatic XY-body of sex chromosomes with DNA damage response proteins in a BRCA1-dependent manner (PubMed:23593030). May be detected in the nucleolus only in cycling cells (PubMed:16644229). {ECO:0000250|UniProtKB:Q7Z333, ECO:0000269|PubMed:16644229, ECO:0000269|PubMed:23593030}.
Cntrl	Cep1 Cep110	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q7Z7A1}. Midbody, Midbody ring {ECO:0000250|UniProtKB:Q7Z7A1}.
Rap1gap	Kiaa0474 Rap1ga1	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
Shroom2	Apxl	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:16684770}. Cell junction, tight junction {ECO:0000269|PubMed:16684770}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:16684770}. Note=Associates with cortical F-actin.
Shoc1	Zip2	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:29742103, ECO:0000269|PubMed:30272023, ECO:0000269|PubMed:30746471}. Note=Localizes to meiotic chromosomes; associates with mid-stage meiotic recombination intermediates (PubMed:29742103). Localization requires meiotic double-strand breaks (DSBs) recombination intermediates catalyzed by DMC1 (PubMed:29742103). {ECO:0000269|PubMed:29742103}.
Cntln		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:A9ZSY0}. Note=Colocalizes with gamma-tubulin during interphase and mitosis. Appears to associate with the mother centriole during G1 phase and with daughter centrioles towards G1/S phase. Localizes to the proximal ends of the centrioles. Levels are high at interphase centrosomes but are reduced on mitotic spindle poles. {ECO:0000250|UniProtKB:A9ZSY0, ECO:0000250|UniProtKB:Q9NXG0}.
Mllt3	Af9	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00376, ECO:0000269|PubMed:11439343}. Chromosome {ECO:0000250|UniProtKB:P42568}. Note=Colocalizes with acylated histone H3. Colocalizes with histone H3 crotonylated at 'Lys-18' (H3K18cr). {ECO:0000250|UniProtKB:P42568}.
Cavin4	Murc	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:18332105}. Cytoplasm {ECO:0000269|PubMed:18332105}. Cytoplasm, cytosol {ECO:0000269|PubMed:19546242}. Membrane, caveola {ECO:0000269|PubMed:19546242, ECO:0000269|PubMed:24567387}. Cell membrane, sarcolemma {ECO:0000269|PubMed:19546242}. Cell membrane {ECO:0000269|PubMed:26497963}. Note=In cardiomyocytes, accumulates in the Z-line of the sarcomere. In vascular smooth muscle cells, detected diffusely throughout the cytoplasm (PubMed:18332105). Localizes in the caveolae in a caveolin-dependent manner (PubMed:19546242). {ECO:0000269|PubMed:18332105, ECO:0000269|PubMed:19546242}.
Bfsp1		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19029034}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q06002}; Cytoplasmic side {ECO:0000250|UniProtKB:Q06002}. Cytoplasm {ECO:0000269|PubMed:19029034, ECO:0000269|PubMed:27559293}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q06002}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q06002}.
Ubr4	Kiaa0462	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q5T4S7}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q5T4S7}. Endosome {ECO:0000269|PubMed:30111582}. Nucleus {ECO:0000250|UniProtKB:Q5T4S7}. Note=Localizes to endosomes via its association with calcium-bound calmodulin (PubMed:30111582). Concentrates at the leading edge of membrane structures involved in actin motility (By similarity). {ECO:0000250|UniProtKB:Q5T4S7, ECO:0000269|PubMed:30111582}.
Syndig1	Tmem90b	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20152115}; Single-pass type II membrane protein {ECO:0000269|PubMed:20152115}. Early endosome membrane {ECO:0000269|PubMed:20152115}; Single-pass type II membrane protein {ECO:0000269|PubMed:20152115}. Postsynaptic density membrane {ECO:0000269|PubMed:20152115}. Synapse {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Note=Shuttles between the cell surface and early endosome membrane.
Plch2	Plcl4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15899900}. Cell membrane {ECO:0000269|PubMed:15899900}; Peripheral membrane protein {ECO:0000305|PubMed:15899900}; Cytoplasmic side {ECO:0000305|PubMed:15899900}. Note=Localized predominantly at the plasma membrane through the PH domain. {ECO:0000269|PubMed:15899900}.
Tpx2		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9ULW0}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:27753540}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9ULW0}. Note=During mitosis it is strictly associated with the spindle pole and with the mitotic spindle, whereas during S and G2, it is diffusely distributed throughout the nucleus. Is released from the nucleus in apoptotic cells and is detected on apoptotic microtubules. {ECO:0000250|UniProtKB:Q9ULW0}.
Ttll9		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:17499049}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:17499049}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000305|PubMed:27257088}.
Ctcfl	Boris	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:17048991}.
Fmnl2	Kiaa1902 Man	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:A0A3Q1LSX9}.
Scn1a		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27281198}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P35498}.
Tubb1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Rtf1		SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250}.
Skt	Etl4 Kiaa1217	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5T5P2}. Cytoplasm {ECO:0000269|PubMed:16204209}.
Duox1		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q9NRD9}; Multi-pass membrane protein {ECO:0000269|PubMed:32929281}. Note=Localizes to the apical membrane of epithelial cells. {ECO:0000250|UniProtKB:Q9NRD9}.
Ldlrad3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21795536}; Single-pass type I membrane protein {ECO:0000269|PubMed:21795536}.
Itga8		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:10742111}; Single-pass type I membrane protein {ECO:0000269|PubMed:10742111}. Cell membrane {ECO:0000250}.
Lgr4	Gpr48	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21693646}; Multi-pass membrane protein {ECO:0000269|PubMed:21693646}.
Ppip5k1	Hisppd2a Kiaa0377 Vip1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q6PFW1}. Cell membrane {ECO:0000250|UniProtKB:Q6PFW1}. Note=Relocalizes to the plasma membrane upon activation of the PtdIns 3-kinase pathway. {ECO:0000250|UniProtKB:Q6PFW1}.
Catsper2		SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000269|PubMed:11675491}; Multi-pass membrane protein {ECO:0000269|PubMed:34225353}.
Lrp2		SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:22340494, ECO:0000269|PubMed:22354480}; Single-pass type I membrane protein {ECO:0000255}. Endosome lumen {ECO:0000250|UniProtKB:P98158}. Membrane, coated pit {ECO:0000269|PubMed:22340494}. Cell projection, dendrite {ECO:0000269|PubMed:20637285}. Cell projection, axon {ECO:0000269|PubMed:20637285}. Note=Localizes to brush border membranes in the kidney. In the endolymphatic sac of the inner ear, located in the lumen of endosomes as a soluble form. {ECO:0000250|UniProtKB:P98158}.
Ankrd16		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29769718}. Nucleus {ECO:0000269|PubMed:29769718}.
Agmat	Gdah	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Scn3a		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9NY46}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9NY46}. Basal cell membrane {ECO:0000269|PubMed:29142310}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9NY46}. Note=In enterochromaffin cells, localized highly asymmetrically, almost exclusively at the basal side. {ECO:0000269|PubMed:29142310}.
Agrn	Agrin	SUBCELLULAR LOCATION: Synapse {ECO:0000269|PubMed:10402191, ECO:0000269|PubMed:12796478, ECO:0000269|PubMed:17611272, ECO:0000269|PubMed:18230682, ECO:0000269|PubMed:8653787}. Cell membrane {ECO:0000269|PubMed:11018052, ECO:0000269|PubMed:11161480}; Single-pass type II membrane protein {ECO:0000269|PubMed:11018052, ECO:0000269|PubMed:11161480}.
Ttn		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000250|UniProtKB:Q8WZ42}.
Slc25a25	Kiaa1896 Scamc2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:15054102}; Multi-pass membrane protein {ECO:0000255}.
Upf2	RENT2	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9HAU5}. Cytoplasm {ECO:0000269|PubMed:27149095}.
Dhtkd1	Kiaa1630	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q96HY7}.
Rad21l1	Gm14160 Rad21l	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21242291, ECO:0000269|PubMed:21274006, ECO:0000269|PubMed:21527826, ECO:0000269|PubMed:21743440}. Chromosome {ECO:0000269|PubMed:21242291, ECO:0000269|PubMed:21274006, ECO:0000269|PubMed:21527826, ECO:0000269|PubMed:21743440}. Note=In meiotic chromosomes, localized along axial elements in early meiosis: detectable on the axial elements in leptotene, and stays on the axial/lateral elements until mid pachytene. It then disappears and is replaced with RAD21. Compared to REC8, has mutually exclusive loading sites on the chromosomes: REC8 and RAD21L form distinct cohesin-enriched domains along the axial elements. {ECO:0000269|PubMed:21242291, ECO:0000269|PubMed:21274006, ECO:0000269|PubMed:21743440}.
Armc3		
Klhl41	Kbtbd10	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18178185, ECO:0000269|PubMed:22562206}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:18178185}. Cell projection, pseudopodium {ECO:0000250|UniProtKB:Q9ER30}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q9ER30}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:22562206}. Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:24268659}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24268659}. Note=Predominantly cytoplasmic but can colocalize with F-actin at the membrane ruffle-like structures at the tips of transformation-specific pseudopodia.
Cep152	Kiaa0912	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O94986}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:O94986}. Note=Colocalizes with CDK5RAP2, WDR62 and CEP63 in a discrete ring around the proximal end of the parental centriole (By similarity). At this site, a cohesive structure is predicted to engage parental centrioles and procentrioles (By similarity). Localizes to the deuterosome (PubMed:24240477). Localizes to pericentriolar material (PCM) (By similarity). {ECO:0000250|UniProtKB:O94986, ECO:0000269|PubMed:24240477}.
Mettl8	Tip	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9H825}. Cytoplasm {ECO:0000305|PubMed:15992539}. Nucleus {ECO:0000305|PubMed:15992539}. Note=Mitochondrial protein (By similarity). The cytoplasmic or nuclear localization observed by some groups is either the result of an incorrect localization caused by N-terminal tagging that interferes with mitochondrial targeting, or splice isoforms that lack the N-terminal mitochondrial transit sequence (By similarity). {ECO:0000250|UniProtKB:Q9H825}.; SUBCELLULAR LOCATION: [Isoform 5]: Nucleus {ECO:0000269|PubMed:15992539}. Note=Isoform 5 localizes to the nucleus upon cell stretch in embryonic lung progenitor cells. {ECO:0000269|PubMed:15992539}.
Svep1		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:22654117}. Nucleus {ECO:0000250|UniProtKB:Q4LDE5}. Cytoplasm {ECO:0000250|UniProtKB:Q4LDE5}. Membrane {ECO:0000250|UniProtKB:Q4LDE5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q4LDE5}.
Slc43a3	Eeg1 Enbt1	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250|UniProtKB:Q8NBI5}; Multi-pass membrane protein {ECO:0000255}.
Mga	Kiaa4252	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Birc7	Livin	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96CA5}. Cytoplasm {ECO:0000250|UniProtKB:Q96CA5}. Golgi apparatus {ECO:0000250|UniProtKB:Q96CA5}. Note=Nuclear, and in a filamentous pattern throughout the cytoplasm. Full-length livin is detected exclusively cytoplasm, whereas the truncated form (tLivin) is found in the peri-nuclear region with marked localization to the Golgi apparatus; the accumulation of tLivin in the nucleus shows positive correlation with the increase in apoptosis. {ECO:0000250|UniProtKB:Q96CA5}.
Gpr155		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q7Z3F1}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3F1}.
Col6a4	Dvwa	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
Mocs3	Uba4	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:O95396}.
Las1l		SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9Y4W2}. Nucleus, nucleoplasm {ECO:0000269|PubMed:22872859}. Cytoplasm {ECO:0000269|PubMed:22872859}. Note=Localizes mainly to the granular component, the region implicated in the later steps of rRNA processing and subunit assembly and export (By similarity). Mainly found in the nucleoplasm, with low levels detected in the cytoplasmic and chromatin fractions. {ECO:0000250|UniProtKB:Q9Y4W2, ECO:0000269|PubMed:22872859}.
Arid1a	Baf250 Baf250a Osa1 Smarcf1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355}.
Kalrn		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O60229, ECO:0000250|UniProtKB:P97924}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O60229, ECO:0000250|UniProtKB:P97924}.
Arid4b	Sap180	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355}.
Mgst2	Gst2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q99735}; Multi-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q99735}; Multi-pass membrane protein {ECO:0000255}.
Kansl3	Kiaa1310 Nsl3	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9P2N6}. Mitochondrion {ECO:0000250|UniProtKB:Q9P2N6}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9P2N6}. Note=Concentrated in the nucleus during interphase but displays a marked relocalization to the spindle poles during mitosis. {ECO:0000250|UniProtKB:Q9P2N6}.
