gen,f_pos,f_neg,d,m_pos,m_neg,jadrowy
Ppp1r3d,0.14635081998657332,0.09892057354599645,0.04743024644057686,0.0,0.0,False
Fam217b,0.08008056008439628,0.05896568390526825,0.02111487617912803,0.0,0.0,False
Cdh4,0.09801476934880599,0.09118736909940389,0.0068274002494020936,0.0,0.0,False
Taf4a,0.204660976311499,0.19461897857257934,0.010041997738919645,0.0,0.0,False
Lsm14b,0.11738755154886353,0.11454809086515225,0.002839460683711284,0.0,0.0,False
Psma7,0.39810108372494485,0.3433220557435154,0.05477902798142947,0.0,0.0,False
Ss18l1,0.3300086314376139,0.3070726599001128,0.0229359715375011,0.0,0.0,False
Mtg2,0.2660400882324734,0.2424681810858708,0.023571907146602594,0.0,0.0,False
Hrh3,0.14318595952814808,0.12340905429353956,0.019776905234608524,0.0,0.0,False
Osbpl2,0.6025702503116908,0.5848235862735621,0.017746664038128634,0.31937657692184857,0.310539718029936,False
Adrm1,0.11834660017262875,0.10762042854841308,0.010726171624215672,0.0,0.0,False
Rps21,0.24916083245420542,0.23602384404704366,0.013136988407161765,0.0,0.0,False
Cables2,0.031073175409993287,0.037054937973256,-0.005981762563262712,0.0,0.0,False
B230312C02Rik,0.10137143953198427,0.08280973094892863,0.01856170858305564,0.0,0.0,False
Mrgbp,0.3526421789584732,0.319478008699855,0.03316417025861823,0.0,0.0,False
Ogfr,0.10808477989834085,0.08715965845013694,0.02092512144820391,0.0,0.0,False
Col9a3,0.018413733576292318,0.018527468986628,-0.00011373541033568232,0.0,0.0,False
Dido1,0.7109427447971612,0.6734332205574352,0.03750952423972609,0.47063253012048195,0.4394831677946735,False
Gid8,0.23304881557494966,0.2120186885774126,0.021030126997537063,0.0,0.0,False
Slc17a9,0.03040184137335763,0.029805058804575478,0.0005967825687821504,0.0,0.0,False
Gm14342,0.053419008343723026,0.04398260028999516,0.009436408053727863,0.0,0.0,False
