names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Celf3,30.0623,2.322686,1.5079804500174234e-198,5.02472590248343e-196,0.8985507246376812,0.4158019752469059,Purkinje_Aldoc_1
Nrxn1,29.857737,1.3405156,6.966503786886553e-196,2.287164662385916e-193,0.9935587761674718,0.9506188273534192,Purkinje_Aldoc_1
Trpc7,29.734728,5.1856995,2.7325405551098843e-194,8.841154767076546e-192,0.7278582930756844,0.046380797599699965,Purkinje_Aldoc_1
Slc6a1,29.492434,2.9785159,3.5996844718460135e-191,1.1480422261994607e-188,0.8244766505636071,0.23709213651706462,Purkinje_Aldoc_1
Car7,29.009682,1.936519,4.9669248699916254e-185,1.5400916350355975e-182,0.9162640901771336,0.6048256032004,Purkinje_Aldoc_1
Cntn5,28.894083,2.0549245,1.4168537930830498e-183,4.3330494425450805e-181,0.9629629629629629,0.7154644330541318,Purkinje_Aldoc_1
Gm26688,28.795013,2.8171415,2.4766207090009245e-182,7.4716969362764376e-180,0.8293075684380032,0.28328541067633456,Purkinje_Aldoc_1
Syndig1,28.667717,0.6640875,9.641870230821601e-181,2.8322993803038455e-178,1.0,0.9983122890361296,Purkinje_Aldoc_1
Vwa8,28.501837,1.314947,1.1115980332122016e-178,3.141319758412962e-176,0.9967793880837359,0.9824978122265283,Purkinje_Aldoc_1
Itpr1,28.498457,0.35117882,1.2241571312636797e-178,3.416163494432706e-176,1.0,1.0,Purkinje_Aldoc_1
Nlgn1,28.309172,1.5519333,2.6649016327298594e-176,7.255357189109037e-174,0.9967793880837359,0.8926740842605325,Purkinje_Aldoc_1
Olfm1,28.281921,2.3800516,5.7672175406158734e-176,1.5512425493283058e-173,0.8438003220611916,0.34448056007000877,Purkinje_Aldoc_1
Ncam1,28.271904,0.89080334,7.658305557703456e-176,2.03537704256821e-173,0.9935587761674718,0.9891861482685336,Purkinje_Aldoc_1
Pde1c,28.069118,1.5322738,2.334452154057173e-173,6.060074923177488e-171,0.9838969404186796,0.8756094511813977,Purkinje_Aldoc_1
Kcnn2,27.73946,1.7572598,2.3352588248878262e-169,5.92439241654781e-167,0.9114331723027376,0.6806475809476185,Purkinje_Aldoc_1
Xkr4,27.67221,1.0848168,1.5085818862250687e-168,3.784167484266816e-166,0.9935587761674718,0.9736842105263158,Purkinje_Aldoc_1
Opcml,27.628098,1.1294152,5.116587222080165e-168,1.269197885921552e-165,0.9951690821256038,0.9759969996249531,Purkinje_Aldoc_1
Myo1e,27.620058,4.159846,6.390746050713655e-168,1.5678396217822235e-165,0.7069243156199678,0.09663707963495437,Purkinje_Aldoc_1
Rgs6,27.537174,3.4836495,6.3035251150580674e-167,1.497087214826291e-164,0.7407407407407407,0.17008376047005877,Purkinje_Aldoc_1
Ttll4,26.67779,1.2039143,8.521632977351101e-157,1.96129336308622e-154,0.9774557165861514,0.903487935991999,Purkinje_Aldoc_1
